election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-19,ANDERSON,1,30786,423,820,91,true,civix
58315,2026-05-19,ANDREWS,2,10702,95,132,10,true,civix
58315,2026-05-19,ANGELINA,3,55664,606,1138,2,true,civix
58315,2026-05-19,ARANSAS,4,19525,259,518,129,true,civix
58315,2026-05-19,ARCHER,5,7024,81,120,32,true,civix
58315,2026-05-19,ARMSTRONG,6,1438,18,32,3,true,civix
58315,2026-05-19,ATASCOSA,7,32329,233,414,1,true,civix
58315,2026-05-19,AUSTIN,8,22456,256,456,138,true,civix
58315,2026-05-19,BAILEY,9,3206,18,37,20,true,civix
58315,2026-05-19,BANDERA,10,19223,476,814,1,true,civix
58315,2026-05-19,BASTROP,11,63196,588,1025,175,true,civix
58315,2026-05-19,BAYLOR,12,2399,28,45,8,true,civix
58315,2026-05-19,BEE,13,15565,167,323,63,true,civix
58315,2026-05-19,BELL,14,237800,1610,2893,602,true,civix
58315,2026-05-19,BEXAR,15,1302585,7815,13998,2625,true,civix
58315,2026-05-19,BLANCO,16,11109,273,450,51,true,civix
58315,2026-05-19,BORDEN,17,466,11,19,0,true,civix
58315,2026-05-19,BOSQUE,18,13544,114,196,51,true,civix
58315,2026-05-19,BOWIE,19,60726,367,709,2,true,civix
58315,2026-05-19,BRAZORIA,20,256322,2806,4962,622,true,civix
58315,2026-05-19,BRAZOS,21,139694,1593,2917,393,true,civix
58315,2026-05-19,BREWSTER,22,7042,86,151,21,true,civix
58315,2026-05-19,BRISCOE,23,994,12,15,15,true,civix
58315,2026-05-19,BROOKS,24,4738,4,7,0,true,civix
58315,2026-05-19,BROWN,25,25563,447,843,168,true,civix
58315,2026-05-19,BURLESON,26,14028,156,260,79,true,civix
58315,2026-05-19,BURNET,27,39936,162,597,270,true,civix
58315,2026-05-19,CALDWELL,28,27463,195,362,3,true,civix
58315,2026-05-19,CALHOUN,29,12908,180,341,0,true,civix
58315,2026-05-19,CALLAHAN,30,10409,63,110,37,true,civix
58315,2026-05-19,CAMERON,31,238910,848,1430,212,true,civix
