election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-21,ANDERSON,1,30786,462,1789,106,true,civix
58315,2026-05-21,ANDREWS,2,10702,72,273,11,true,civix
58315,2026-05-21,ANGELINA,3,55664,580,2379,2,true,civix
58315,2026-05-21,ARANSAS,4,19525,265,1072,129,true,civix
58315,2026-05-21,ARCHER,5,7024,74,264,32,true,civix
58315,2026-05-21,ARMSTRONG,6,1438,30,83,3,true,civix
58315,2026-05-21,ATASCOSA,7,32329,229,938,1,true,civix
58315,2026-05-21,AUSTIN,8,22456,262,998,149,true,civix
58315,2026-05-21,BAILEY,9,3206,17,89,26,true,civix
58315,2026-05-21,BANDERA,10,19223,464,1814,1,true,civix
58315,2026-05-21,BASTROP,11,63196,607,2265,175,true,civix
58315,2026-05-21,BAYLOR,12,2399,28,97,13,true,civix
58315,2026-05-21,BEE,13,15565,149,650,63,true,civix
58315,2026-05-21,BELL,14,237800,1541,6120,634,true,civix
58315,2026-05-21,BEXAR,15,1302585,7548,29453,3606,true,civix
58315,2026-05-21,BLANCO,16,11109,210,931,58,true,civix
58315,2026-05-21,BORDEN,17,466,11,42,8,true,civix
58315,2026-05-21,BOSQUE,18,13544,136,447,54,true,civix
58315,2026-05-21,BOWIE,19,60726,527,1793,263,true,civix
58315,2026-05-21,BRAZORIA,20,256322,2240,9414,744,true,civix
58315,2026-05-21,BRAZOS,21,139694,1369,5862,438,true,civix
58315,2026-05-21,BREWSTER,22,7042,64,278,23,true,civix
58315,2026-05-21,BRISCOE,23,994,8,35,17,true,civix
58315,2026-05-21,BROOKS,24,4738,10,20,0,true,civix
58315,2026-05-21,BROWN,25,25563,420,1763,201,true,civix
58315,2026-05-21,BURLESON,26,14028,173,590,85,true,civix
58315,2026-05-21,BURNET,27,39936,0,597,270,true,civix
58315,2026-05-21,CALDWELL,28,27463,184,727,64,true,civix
58315,2026-05-21,CALHOUN,29,12908,136,639,0,true,civix
58315,2026-05-21,CALLAHAN,30,10409,64,242,39,true,civix
58315,2026-05-21,CAMERON,31,238910,679,2889,284,true,civix
58315,2026-05-21,CAMP,32,8337,16,55,51,true,civix
58315,2026-05-21,CARSON,33,4217,31,132,0,true,civix
58315,2026-05-21,CASS,34,21649,246,986,121,true,civix
58315,2026-05-21,CASTRO,35,3506,37,176,13,true,civix
58315,2026-05-21,CHAMBERS,36,38288,366,1596,14,true,civix
58315,2026-05-21,CHEROKEE,37,32319,323,1265,114,true,civix
58315,2026-05-21,CHILDRESS,38,3457,32,94,0,true,civix
58315,2026-05-21,CLAY,39,8237,77,230,20,true,civix
58315,2026-05-21,COCHRAN,40,1486,0,21,23,true,civix
58315,2026-05-21,COKE,41,2508,12,93,36,true,civix
58315,2026-05-21,COLEMAN,42,6105,123,564,10,true,civix
58315,2026-05-21,COLLIN,43,751744,7695,30119,1877,true,civix
58315,2026-05-21,COLLINGSWORTH,44,1942,10,56,19,true,civix
58315,2026-05-21,COLORADO,45,14572,209,899,4,true,civix
58315,2026-05-21,COMAL,46,148291,2352,6726,942,true,civix
58315,2026-05-21,COMANCHE,47,10230,154,663,85,true,civix
58315,2026-05-21,CONCHO,48,1731,17,64,29,true,civix
58315,2026-05-21,COOKE,49,30630,287,1133,117,true,civix
58315,2026-05-21,CORYELL,50,46228,451,2094,15,true,civix
58315,2026-05-21,COTTLE,51,971,18,57,6,true,civix
58315,2026-05-21,CRANE,52,2759,74,296,0,true,civix
58315,2026-05-21,CROCKETT,53,2250,18,83,9,true,civix
58315,2026-05-21,CROSBY,54,3605,25,137,41,true,civix
58315,2026-05-21,CULBERSON,55,1717,0,4,0,true,civix
58315,2026-05-21,DALLAM,56,2800,9,57,0,true,civix
58315,2026-05-21,DALLAS,57,1456854,7555,31250,2431,true,civix
58315,2026-05-21,DAWSON,58,6443,79,211,0,true,civix
58315,2026-05-21,DEAF SMITH,59,8771,47,171,51,true,civix
58315,2026-05-21,DELTA,60,4089,0,3,0,true,civix
58315,2026-05-21,DENTON,61,654728,6677,27618,1548,true,civix
58315,2026-05-21,DEWITT,62,11573,145,569,70,true,civix
58315,2026-05-21,DICKENS,63,1361,11,42,0,true,civix
58315,2026-05-21,DIMMIT,64,6594,7,46,1,true,civix
58315,2026-05-21,DONLEY,65,2431,27,82,3,true,civix
58315,2026-05-21,DUVAL,66,7769,3,21,4,true,civix
58315,2026-05-21,EASTLAND,67,12536,129,435,125,true,civix
58315,2026-05-21,ECTOR,68,85455,536,1746,0,true,civix
58315,2026-05-21,EDWARDS,69,1465,42,122,0,true,civix
58315,2026-05-21,ELLIS,70,152780,1456,5876,196,true,civix
58315,2026-05-21,EL PASO,71,523121,1335,4880,398,true,civix
58315,2026-05-21,ERATH,72,26374,309,1191,134,true,civix
58315,2026-05-21,FALLS,73,10663,3,4,39,true,civix
58315,2026-05-21,FANNIN,74,24891,425,1637,121,true,civix
58315,2026-05-21,FAYETTE,75,18210,388,1708,5,true,civix
58315,2026-05-21,FISHER,76,2733,25,97,0,true,civix
58315,2026-05-21,FLOYD,77,3583,0,74,1,true,civix
58315,2026-05-21,FOARD,78,788,7,28,1,true,civix
58315,2026-05-21,FORT BEND,79,532621,4286,16810,985,true,civix
58315,2026-05-21,FRANKLIN,80,7706,139,516,45,true,civix
58315,2026-05-21,FREESTONE,81,13410,169,633,0,true,civix
58315,2026-05-21,FRIO,82,9616,16,71,0,true,civix
