election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-26,HAMILTON,97,6213,280,760,35,true,civix
58315,2026-05-26,HANSFORD,98,2960,0,95,3,true,civix
58315,2026-05-26,HARDEMAN,99,2214,0,1,0,true,civix
58315,2026-05-26,HARDIN,100,43610,0,1431,5,true,civix
58315,2026-05-26,HARRIS,101,2714171,0,64988,6979,true,civix
58315,2026-05-26,HARRISON,102,47260,0,2764,157,true,civix
58315,2026-05-26,HARTLEY,103,2786,0,158,26,true,civix
58315,2026-05-26,HASKELL,104,3400,0,104,23,true,civix
58315,2026-05-26,HAYS,105,194931,0,7940,503,true,civix
58315,2026-05-26,HEMPHILL,106,2273,0,161,29,true,civix
58315,2026-05-26,HENDERSON,107,60384,0,3800,284,true,civix
58315,2026-05-26,HIDALGO,108,455601,0,5363,408,true,civix
58315,2026-05-26,HILL,109,27539,0,1647,114,true,civix
58315,2026-05-26,HOCKLEY,110,14140,0,794,10,true,civix
58315,2026-05-26,HOOD,111,52985,0,3960,500,true,civix
58315,2026-05-26,HOPKINS,112,25476,0,1307,64,true,civix
58315,2026-05-26,HOUSTON,113,13774,0,773,99,true,civix
58315,2026-05-26,HOWARD,114,16696,0,784,11,true,civix
58315,2026-05-26,HUDSPETH,115,2131,0,43,1,true,civix
58315,2026-05-26,HUNT,116,74932,0,3443,297,true,civix
58315,2026-05-26,HUTCHINSON,117,13241,0,729,95,true,civix
58315,2026-05-26,IRION,118,1203,0,89,9,true,civix
58315,2026-05-26,JACK,119,5813,0,429,52,true,civix
58315,2026-05-26,JACKSON,120,9957,0,674,0,true,civix
58315,2026-05-26,JASPER,121,24482,0,1088,89,true,civix
58315,2026-05-26,JEFF DAVIS,122,1554,0,175,6,true,civix
58315,2026-05-26,JEFFERSON,123,146779,0,4173,449,true,civix
58315,2026-05-26,JIM HOGG,124,3409,0,6,1,true,civix
58315,2026-05-26,JIM WELLS,125,25969,0,433,0,true,civix
58315,2026-05-26,JOHNSON,126,133150,64,6154,581,true,civix
58315,2026-05-26,JONES,127,11009,35,706,91,true,civix
58315,2026-05-26,KARNES,128,8221,0,336,85,true,civix
58315,2026-05-26,KAUFMAN,129,114860,0,4384,338,true,civix
58315,2026-05-26,KENDALL,130,40083,0,5121,390,true,civix
58315,2026-05-26,KENEDY,131,268,0,3,0,true,civix
