election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-18,ANDERSON,1,30786,397,397,89,true,civix
58315,2026-05-18,ANDREWS,2,10702,37,37,9,true,civix
58315,2026-05-18,ANGELINA,3,55664,532,532,2,true,civix
58315,2026-05-18,ARANSAS,4,19525,259,259,129,true,civix
58315,2026-05-18,ARCHER,5,7024,39,39,31,true,civix
58315,2026-05-18,ARMSTRONG,6,1438,14,14,3,true,civix
58315,2026-05-18,ATASCOSA,7,32329,181,181,1,true,civix
58315,2026-05-18,AUSTIN,8,22456,200,200,135,true,civix
58315,2026-05-18,BAILEY,9,3206,19,19,19,true,civix
58315,2026-05-18,BANDERA,10,19223,338,338,1,true,civix
58315,2026-05-18,BASTROP,11,63196,437,437,175,true,civix
58315,2026-05-18,BAYLOR,12,2399,17,17,8,true,civix
58315,2026-05-18,BEE,13,15565,156,156,63,true,civix
58315,2026-05-18,BELL,14,237800,1283,1283,602,true,civix
58315,2026-05-18,BEXAR,15,1302585,6183,6183,2602,true,civix
58315,2026-05-18,BLANCO,16,11109,177,177,51,true,civix
58315,2026-05-18,BORDEN,17,466,8,8,0,true,civix
58315,2026-05-18,BOSQUE,18,13544,82,82,44,true,civix
58315,2026-05-18,BOWIE,19,60726,342,342,2,true,civix
58315,2026-05-18,BRAZORIA,20,256322,2156,2156,620,true,civix
58315,2026-05-18,BRAZOS,21,139694,1324,1324,393,true,civix
58315,2026-05-18,BREWSTER,22,7042,65,65,20,true,civix
58315,2026-05-18,BRISCOE,23,994,3,3,13,true,civix
58315,2026-05-18,BROOKS,24,4738,3,3,0,true,civix
58315,2026-05-18,BROWN,25,25563,396,396,154,true,civix
58315,2026-05-18,BURLESON,26,14028,104,104,79,true,civix
58315,2026-05-18,BURNET,27,39936,435,435,270,true,civix
58315,2026-05-18,CALDWELL,28,27463,166,167,3,true,civix
58315,2026-05-18,CALHOUN,29,12908,161,161,0,true,civix
58315,2026-05-18,CALLAHAN,30,10409,47,47,37,true,civix
58315,2026-05-18,CAMERON,31,238910,582,582,4,true,civix
58315,2026-05-18,CAMP,32,8337,5,5,45,true,civix
58315,2026-05-18,CARSON,33,4217,19,19,0,true,civix
58315,2026-05-18,CASS,34,21649,198,199,1,true,civix
58315,2026-05-18,CASTRO,35,3506,44,44,1,true,civix
58315,2026-05-18,CHAMBERS,36,38288,354,354,14,true,civix
58315,2026-05-18,CHEROKEE,37,32319,240,240,103,true,civix
58315,2026-05-18,CHILDRESS,38,3457,28,28,0,true,civix
58315,2026-05-18,CLAY,39,8237,37,37,14,true,civix
58315,2026-05-18,COCHRAN,40,1486,21,21,19,true,civix
58315,2026-05-18,COKE,41,2508,25,25,30,true,civix
58315,2026-05-18,COLEMAN,42,6105,122,122,1,true,civix
58315,2026-05-18,COLLIN,43,751744,6907,6929,1617,true,civix
58315,2026-05-18,COLLINGSWORTH,44,1942,12,12,18,true,civix
58315,2026-05-18,COLORADO,45,14572,198,198,1,true,civix
58315,2026-05-18,COMAL,46,148291,1762,1762,420,true,civix
58315,2026-05-18,COMANCHE,47,10230,152,152,75,true,civix
58315,2026-05-18,CONCHO,48,1731,16,16,29,true,civix
