election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-20,HOCKLEY,110,14140,152,405,7,true,civix
58315,2026-05-20,HOOD,111,52985,855,2205,444,true,civix
58315,2026-05-20,HOPKINS,112,25476,291,677,25,true,civix
58315,2026-05-20,HOUSTON,113,13774,196,444,82,true,civix
58315,2026-05-20,HOWARD,114,16696,123,371,11,true,civix
58315,2026-05-20,HUDSPETH,115,2131,11,23,0,true,civix
58315,2026-05-20,HUNT,116,74932,709,1890,292,true,civix
58315,2026-05-20,HUTCHINSON,117,13241,146,386,1,true,civix
58315,2026-05-20,IRION,118,1203,20,43,9,true,civix
58315,2026-05-20,JACK,119,5813,85,215,47,true,civix
58315,2026-05-20,JACKSON,120,9957,143,351,0,true,civix
58315,2026-05-20,JASPER,121,24482,197,586,84,true,civix
58315,2026-05-20,JEFF DAVIS,122,1554,30,88,4,true,civix
58315,2026-05-20,JEFFERSON,123,146779,805,2124,351,true,civix
58315,2026-05-20,JIM HOGG,124,3409,2,5,1,true,civix
58315,2026-05-20,JIM WELLS,125,25969,71,234,0,true,civix
58315,2026-05-20,JOHNSON,126,133150,1302,3200,325,true,civix
58315,2026-05-20,JONES,127,11009,127,368,85,true,civix
58315,2026-05-20,KARNES,128,8221,79,204,63,true,civix
58315,2026-05-20,KAUFMAN,129,114860,973,2484,311,true,civix
58315,2026-05-20,KENDALL,130,40083,1043,2953,296,true,civix
58315,2026-05-20,KENEDY,131,268,0,3,0,true,civix
58315,2026-05-20,KENT,132,565,0,4,0,true,civix
58315,2026-05-20,KERR,133,39354,814,2550,370,true,civix
58315,2026-05-20,KIMBLE,134,3314,52,151,23,true,civix
58315,2026-05-20,KING,135,179,5,6,0,true,civix
58315,2026-05-20,KINNEY,136,2199,29,89,3,true,civix
58315,2026-05-20,KLEBERG,137,17846,96,258,19,true,civix
58315,2026-05-20,KNOX,138,2247,22,34,10,true,civix
58315,2026-05-20,LAMAR,139,33116,567,1340,50,true,civix
58315,2026-05-20,LAMB,140,7703,60,170,0,true,civix
58315,2026-05-20,LAMPASAS,141,17266,253,615,74,true,civix
