election_id,report_date,county,county_id,registered_voters,in_person_votes_on_date,total_in_person_votes,total_mail_votes,roster_available,source
58315,2026-05-22,ANDERSON,1,30786,601,2390,104,true,civix
58315,2026-05-22,ANDREWS,2,10702,122,395,11,true,civix
58315,2026-05-22,ANGELINA,3,55664,776,3155,2,true,civix
58315,2026-05-22,ARANSAS,4,19525,391,1460,129,true,civix
58315,2026-05-22,ARCHER,5,7024,132,396,35,true,civix
58315,2026-05-22,ARMSTRONG,6,1438,29,112,3,true,civix
58315,2026-05-22,ATASCOSA,7,32329,401,1356,46,true,civix
58315,2026-05-22,AUSTIN,8,22456,351,1349,155,true,civix
58315,2026-05-22,BAILEY,9,3206,49,138,26,true,civix
58315,2026-05-22,BANDERA,10,19223,599,2413,5,true,civix
58315,2026-05-22,BASTROP,11,63196,904,3169,175,true,civix
58315,2026-05-22,BAYLOR,12,2399,44,141,9,true,civix
58315,2026-05-22,BEE,13,15565,218,868,63,true,civix
58315,2026-05-22,BELL,14,237800,2416,8536,645,true,civix
58315,2026-05-22,BEXAR,15,1302585,11359,40812,2875,true,civix
58315,2026-05-22,BLANCO,16,11109,401,1332,53,true,civix
58315,2026-05-22,BORDEN,17,466,10,52,0,true,civix
58315,2026-05-22,BOSQUE,18,13544,152,601,62,true,civix
58315,2026-05-22,BOWIE,19,60726,623,2415,2,true,civix
58315,2026-05-22,BRAZORIA,20,256322,3674,13088,747,true,civix
58315,2026-05-22,BRAZOS,21,139694,2008,7879,439,true,civix
58315,2026-05-22,BREWSTER,22,7042,81,359,24,true,civix
58315,2026-05-22,BRISCOE,23,994,21,56,17,true,civix
58315,2026-05-22,BROOKS,24,4738,8,28,0,true,civix
58315,2026-05-22,BROWN,25,25563,637,2400,211,true,civix
58315,2026-05-22,BURLESON,26,14028,259,849,85,true,civix
58315,2026-05-22,BURNET,27,39936,0,597,270,true,civix
58315,2026-05-22,CALDWELL,28,27463,296,1023,3,true,civix
58315,2026-05-22,CALHOUN,29,12908,232,871,0,true,civix
58315,2026-05-22,CALLAHAN,30,10409,136,378,39,true,civix
58315,2026-05-22,CAMERON,31,238910,1135,4024,214,true,civix
58315,2026-05-22,CAMP,32,8337,6,61,51,true,civix
58315,2026-05-22,CARSON,33,4217,46,178,0,true,civix
58315,2026-05-22,CASS,34,21649,330,1316,1,true,civix
58315,2026-05-22,CASTRO,35,3506,57,233,15,true,civix
58315,2026-05-22,CHAMBERS,36,38288,627,2223,14,true,civix
58315,2026-05-22,CHEROKEE,37,32319,461,1726,119,true,civix
58315,2026-05-22,CHILDRESS,38,3457,39,133,0,true,civix
58315,2026-05-22,CLAY,39,8237,72,302,20,true,civix
58315,2026-05-22,COCHRAN,40,1486,0,21,24,true,civix
58315,2026-05-22,COKE,41,2508,52,145,36,true,civix
58315,2026-05-22,COLEMAN,42,6105,191,755,1,true,civix
58315,2026-05-22,COLLIN,43,751744,12566,42692,1988,true,civix
58315,2026-05-22,COLLINGSWORTH,44,1942,29,85,19,true,civix
58315,2026-05-22,COLORADO,45,14572,324,1223,4,true,civix
58315,2026-05-22,COMAL,46,148291,3204,9930,908,true,civix
58315,2026-05-22,COMANCHE,47,10230,243,906,88,true,civix
58315,2026-05-22,CONCHO,48,1731,38,102,29,true,civix
58315,2026-05-22,COOKE,49,30630,457,1590,122,true,civix
58315,2026-05-22,CORYELL,50,46228,650,2744,15,true,civix
58315,2026-05-22,COTTLE,51,971,32,89,6,true,civix
58315,2026-05-22,CRANE,52,2759,133,429,0,true,civix
58315,2026-05-22,CROCKETT,53,2250,26,109,0,true,civix
58315,2026-05-22,CROSBY,54,3605,71,208,42,true,civix
58315,2026-05-22,CULBERSON,55,1717,5,9,0,true,civix
58315,2026-05-22,DALLAM,56,2800,16,73,0,true,civix
58315,2026-05-22,DALLAS,57,1456854,11524,42774,2669,true,civix
58315,2026-05-22,DAWSON,58,6443,80,291,0,true,civix
58315,2026-05-22,DEAF SMITH,59,8771,84,255,52,true,civix
58315,2026-05-22,DELTA,60,4089,3,6,0,true,civix
58315,2026-05-22,DENTON,61,654728,11041,38659,1688,true,civix
58315,2026-05-22,DEWITT,62,11573,208,777,75,true,civix
58315,2026-05-22,DICKENS,63,1361,30,72,0,true,civix
58315,2026-05-22,DIMMIT,64,6594,26,72,1,true,civix
58315,2026-05-22,DONLEY,65,2431,58,140,3,true,civix
58315,2026-05-22,DUVAL,66,7769,16,37,0,true,civix
58315,2026-05-22,EASTLAND,67,12536,200,635,133,true,civix
58315,2026-05-22,ECTOR,68,85455,697,2443,0,true,civix
58315,2026-05-22,EDWARDS,69,1465,37,159,0,true,civix
58315,2026-05-22,ELLIS,70,152780,2135,8011,365,true,civix
58315,2026-05-22,EL PASO,71,523121,1907,6787,425,true,civix
58315,2026-05-22,ERATH,72,26374,396,1587,134,true,civix
58315,2026-05-22,FALLS,73,10663,6,10,0,true,civix
58315,2026-05-22,FANNIN,74,24891,546,2183,122,true,civix
58315,2026-05-22,FAYETTE,75,18210,571,2279,179,true,civix
58315,2026-05-22,FISHER,76,2733,45,142,0,true,civix
58315,2026-05-22,FLOYD,77,3583,48,122,1,true,civix
58315,2026-05-22,FOARD,78,788,16,44,2,true,civix
58315,2026-05-22,FORT BEND,79,532621,283,17093,985,true,civix
58315,2026-05-22,FRANKLIN,80,7706,174,690,45,true,civix
58315,2026-05-22,FREESTONE,81,13410,264,897,0,true,civix
58315,2026-05-22,FRIO,82,9616,36,107,0,true,civix
58315,2026-05-22,GAINES,83,10683,150,437,0,true,civix
58315,2026-05-22,GALVESTON,84,246685,3945,13620,768,true,civix
58315,2026-05-22,GARZA,85,2528,46,145,22,true,civix
58315,2026-05-22,GILLESPIE,86,22041,657,2473,195,true,civix
58315,2026-05-22,GLASSCOCK,87,843,32,119,9,true,civix
58315,2026-05-22,GOLIAD,88,5697,251,906,45,true,civix
58315,2026-05-22,GONZALES,89,13234,229,870,2,true,civix
58315,2026-05-22,GRAY,90,12162,203,711,137,true,civix
58315,2026-05-22,GRAYSON,91,100098,1654,5538,356,true,civix
58315,2026-05-22,GREGG,92,73799,1051,3906,492,true,civix
58315,2026-05-22,GRIMES,93,21666,375,1516,61,true,civix
58315,2026-05-22,GUADALUPE,94,129704,1900,6773,451,true,civix
58315,2026-05-22,HALE,95,18133,244,791,66,true,civix
58315,2026-05-22,HALL,96,1838,18,62,0,true,civix
58315,2026-05-22,HAMILTON,97,6213,148,480,33,true,civix
58315,2026-05-22,HANSFORD,98,2960,29,95,0,true,civix
58315,2026-05-22,HARDEMAN,99,2214,0,1,0,true,civix
58315,2026-05-22,HARDIN,100,43610,454,1431,5,true,civix
58315,2026-05-22,HARRIS,101,2714171,866,64988,7084,true,civix
58315,2026-05-22,HARRISON,102,47260,750,2760,8,true,civix
58315,2026-05-22,HARTLEY,103,2786,28,158,0,true,civix
58315,2026-05-22,HASKELL,104,3400,42,104,22,true,civix
58315,2026-05-22,HAYS,105,194931,2058,7940,622,true,civix
58315,2026-05-22,HEMPHILL,106,2273,35,161,0,true,civix
